section,key,value
scenario,topology_type,random
scenario,node_count,20
scenario,edge_prob,0.25
scenario,seed,42
scenario,failure_profile,"{'down_nodes': [], 'down_edges': [], 'packet_loss_nodes': {}, 'packet_loss_edges': {}, 'maintenance_edges': {}}"
scenario,source_label,Random
comparison,Dijkstra,0.375
comparison,Bellman-Ford,0.425
comparison,ACO,0.35
comparison,GA,0.4
recommendation,Default to Bellman-Ford for this scenario,"It delivered the highest composite score (0.6395) for the current topology, traffic, and failure profile."
recommendation,Avoid ACO for stressed conditions,It was the weakest option in this run with packet delivery ratio 35%.
